#{"t_start": 1702597504.5211623, "env_id": "ALE/Breakout-v5"}
r,l,t
7.0,501,32091.522588
3.0,388,32143.796629
3.0,288,32182.574069
3.0,332,32227.602398
2.0,296,32267.375319
0.0,122,32283.69432
3.0,621,32367.388799
3.0,280,32405.142729
2.0,189,32430.679549
3.0,292,32470.556684
4.0,298,32510.665278
2.0,409,32566.187499
3.0,894,32688.03611
3.0,491,32754.578742
0.0,197,32781.465561
3.0,243,32814.679445
4.0,405,32869.64148
3.0,388,32921.915326
0.0,207,32950.044908
0.0,122,32966.468116
0.0,332,33011.994967
2.0,502,33080.62146
1.0,273,33117.829697
2.0,242,33150.906611
0.0,122,33167.743612
1.0,196,33194.614393
4.0,351,33242.945364
2.0,355,33291.713913
0.0,122,33308.640052
1.0,150,33328.993911
2.0,179,33353.927465
0.0,122,33370.728761
0.0,122,33387.502907
0.0,122,33404.339876
1.0,288,33443.663546
2.0,179,33468.191551
0.0,124,33485.456595
2.0,218,33515.477845
0.0,123,33532.454237
3.0,453,33594.958077
0.0,123,33611.969214
0.0,122,33628.530216
2.0,198,33656.135089
1.0,169,33679.47985
2.0,497,33748.234672
2.0,483,33815.075128
2.0,290,33854.762302
3.0,368,33905.927264
3.0,780,34014.146963
3.0,558,34092.017726
3.0,332,34138.458759
2.0,265,34175.634568
11.0,454,34239.076027
3.0,284,34278.683997
3.0,292,34319.586959
1.0,229,34351.724964
3.0,278,34390.454596
0.0,122,34407.738703
3.0,303,34450.678342
0.0,122,34467.697554
2.0,190,34494.461385
3.0,234,34527.042321
0.0,122,34544.408956
0.0,122,34561.513057
0.0,123,34578.67304
2.0,331,34625.670047
2.0,186,34651.816999
0.0,262,34689.196719
1.0,280,34728.770209
0.0,123,34745.879193
2.0,369,34798.132719
3.0,261,34834.889289
3.0,345,34883.603005
1.0,160,34906.139512
0.0,122,34923.569917
1.0,293,34965.14959
1.0,264,35002.499798
2.0,302,35045.446586
0.0,122,35062.950221
0.0,122,35080.286322
0.0,122,35097.837334
2.0,216,35128.686204
0.0,122,35145.757388
7.0,438,35208.271188
3.0,470,35275.02292
1.0,233,35308.588715
11.0,694,35408.034513
1.0,214,35438.798278
1.0,412,35497.988291
1.0,150,35519.447864
1.0,262,35557.308931
0.0,122,42667.737155
0.0,122,42676.72196
0.0,122,42685.655869
0.0,122,42694.584879
0.0,122,42703.523881
0.0,122,42712.474877
0.0,122,42721.416881
0.0,122,42730.354676
0.0,122,42739.304775
0.0,122,42748.304714
